,netapp_ontap.system_node,storage.name,LOB,model,Installed_Version,node_version,cluster_name,node_version_install_time_without_timezone,current_date,days_passed_last_ontap_upgrade,Target Golden Image,Target Golden Image-1,Target Golden Image-2,OS_Compliance,OS_Compliance-1
1114,stnpa4-01-st040,stnpca4-st040,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca4-st040,2022-10-07 20:15:00,2023-04-17 16:26:00,191.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1115,stnpa4-01-st043,stnpca4-st043,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca4-st043,2022-09-11 04:07:00,2023-04-17 16:26:00,218.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1116,stnpa4-01-st044,stnpca4-st044,CCloud,AFF-A700s,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st044,2023-02-14 23:03:00,2023-04-17 16:26:00,61.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1117,stnpa4-01-st048,stnpca4-st048,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st048,2023-02-03 22:49:00,2023-04-17 16:26:00,72.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1118,stnpa4-01-st050,stnpca4-st050,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st050,2023-02-23 22:19:00,2023-04-17 16:26:00,52.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1119,stnpa4-01-st052,stnpca4-st052,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st052,2023-02-26 04:22:00,2023-04-17 16:26:00,50.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1120,stnpa4-01-st053,stnpca4-st053,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st053,2023-02-07 09:07:00,2023-04-17 16:26:00,69.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1121,stnpa4-01-st054,stnpca4-st054,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st054,2023-01-10 22:14:00,2023-04-17 16:26:00,96.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1122,stnpa4-01-st055,stnpca4-st055,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st055,2023-02-02 22:57:00,2023-04-17 16:26:00,73.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1123,stnpa4-01-st056,stnpca4-st056,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca4-st056,2022-09-10 22:13:00,2023-04-17 16:26:00,218.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1124,stnpa4-01-st057,stnpca4-st057,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st057,2023-02-11 22:25:00,2023-04-17 16:26:00,64.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1125,stnpa4-01-st059,stnpca4-st059,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st059,2023-02-25 22:20:00,2023-04-17 16:26:00,50.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1126,stnpa4-01-st060,stnpca4-st060,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca4-st060,2022-08-02 22:10:00,2023-04-17 16:26:00,257.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1127,stnpa4-01-st064,stnpca4-st064,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca4-st064,2022-09-12 10:43:00,2023-04-17 16:26:00,217.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1128,stnpa4-01-st065,stnpca4-st065,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca4-st065,2022-12-03 22:05:00,2023-04-17 16:26:00,134.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1129,stnpa4-01-st068,stnpca4-st068,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca4-st068,2022-12-17 04:05:00,2023-04-17 16:26:00,121.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
